from,to,proximity
8428,8436,0.535714285714286
8432,8436,0.535714285714286
5911,8466,0.535714285714286
2806,8483,0.535714285714286
3926,8483,0.535714285714286
4008,8483,0.535714285714286
8428,8483,0.535714285714286
8432,8535,0.535714285714286
8481,8535,0.535714285714286
5911,8539,0.535714285714286
8432,8606,0.535714285714286
8905,8906,0.535714285714286
0707,0709,0.534883720930233
0709,0710,0.534883720930233
4412,4418,0.534883720930233
4822,4901,0.534883720930233
4901,7308,0.534883720930233
6810,7308,0.534883720930233
7308,7314,0.534883720930233
7308,7325,0.534883720930233
1602,7610,0.534883720930233
1806,7610,0.534883720930233
3921,7610,0.534883720930233
4418,7610,0.534883720930233
4822,7610,0.534883720930233
4911,7610,0.534883720930233
7308,8431,0.534883720930233
4418,9403,0.534883720930233
7610,9403,0.534883720930233
4418,9406,0.534883720930233
7610,9406,0.534883720930233
1601,1905,0.533333333333333
0712,2005,0.533333333333333
1905,2103,0.533333333333333
2806,2839,0.533333333333333
2906,2912,0.533333333333333
2912,2936,0.533333333333333
2920,3810,0.533333333333333
3811,3819,0.533333333333333
3819,3908,0.533333333333333
3804,4701,0.533333333333333
3804,4702,0.533333333333333
4701,4705,0.533333333333333
1905,4821,0.533333333333333
5204,5209,0.533333333333333
5210,5306,0.533333333333333
5210,5407,0.533333333333333
5306,5516,0.533333333333333
5407,5516,0.533333333333333
5306,5801,0.533333333333333
5516,5801,0.533333333333333
5401,5807,0.533333333333333
5804,5810,0.533333333333333
5204,6002,0.533333333333333
6212,6307,0.533333333333333
4008,6806,0.533333333333333
6902,7009,0.533333333333333
7227,7228,0.533333333333333
2912,7507,0.533333333333333
4205,7616,0.533333333333333
3908,7905,0.533333333333333
7017,8209,0.533333333333333
4009,8409,0.533333333333333
4009,8414,0.533333333333333
6806,8433,0.533333333333333
6902,8439,0.533333333333333
6902,8454,0.533333333333333
8439,8454,0.533333333333333
7229,8456,0.533333333333333
8454,8456,0.533333333333333
6902,8458,0.533333333333333
8454,8458,0.533333333333333
8454,8461,0.533333333333333
8456,8461,0.533333333333333
4009,8516,0.533333333333333
5902,8527,0.533333333333333
2912,9017,0.533333333333333
2931,9022,0.533333333333333
4205,9401,0.533333333333333
7007,9401,0.533333333333333
1101,2302,0.532258064516129
2106,2309,0.532258064516129
0709,0811,0.531914893617021
6102,6202,0.531914893617021
6102,6208,0.531914893617021
6109,6210,0.531914893617021
4008,4016,0.53125
4410,4805,0.53125
4016,5911,0.53125
4016,7007,0.53125
4016,7325,0.53125
7307,7325,0.53125
7321,7325,0.53125
7325,7616,0.53125
4016,8413,0.53125
4016,8421,0.53125
4016,8483,0.53125
4016,8516,0.53125
7325,8608,0.53125
4016,8703,0.53125
7321,9401,0.53125
0811,2007,0.530612244897959
2007,3209,0.530612244897959
2007,3402,0.530612244897959
3208,4821,0.530612244897959
4821,4901,0.530612244897959
4821,4911,0.530612244897959
6101,6209,0.530612244897959
6205,6405,0.530612244897959
4821,7306,0.530612244897959
4821,7314,0.530612244897959
0811,8544,0.530612244897959
4707,4821,0.53030303030303
2915,2921,0.529411764705882
3403,3507,0.529411764705882
2921,3910,0.529411764705882
2940,3914,0.529411764705882
4407,4408,0.529411764705882
0403,4415,0.529411764705882
3925,4415,0.529411764705882
1517,4818,0.529411764705882
1601,4818,0.529411764705882
2105,4818,0.529411764705882
4415,4818,0.529411764705882
4415,4822,0.529411764705882
2912,5909,0.529411764705882
5807,6217,0.529411764705882
6117,6217,0.529411764705882
7221,7222,0.529411764705882
7225,7226,0.529411764705882
4415,7310,0.529411764705882
4818,7314,0.529411764705882
3819,7415,0.529411764705882
7222,7507,0.529411764705882
